BRANCH DATA;FOLLOWS;80;ITEMS;;;;;;;;;;;;;;;;;
from;to;Area_number;Loss_zone;Circuits;branchtype;r;x;c;rateA;rateB;rateC;cbn;side;a;fi;mintap;maxtap;stepzise;minlimit;maxlimit
29;52;1;1;1;0;0.1442;0.187;0;0;0;0;0;0;0;0;0;0;0;0;0
52;53;1;1;1;0;0.0762;0.0984;0;0;0;0;0;0;0;0;0;0;0;0;0
53;54;1;1;1;0;0.1878;0.232;0;0;0;0;0;0;0;0;0;0;0;0;0
54;55;1;1;1;0;0.1732;0.2265;0;0;0;0;0;0;0;0;0;0;0;0;0
11;43;1;1;1;0;0;0.153;0;0;0;0;0;0;0.958;0;0;0;0;0;0
44;45;1;1;1;0;0.0624;0.1242;0.004;0;0;0;0;0;0;0;0;0;0;0;0
40;56;1;1;1;0;0;1.195;0;0;0;0;0;0;0.958;0;0;0;0;0;0
56;41;1;1;1;0;0.553;0.549;0;0;0;0;0;0;0;0;0;0;0;0;0
56;42;1;1;1;0;0.2125;0.354;0;0;0;0;0;0;0;0;0;0;0;0;0
39;57;1;1;1;0;0;1.355;0;0;0;0;0;0;0.98;0;0;0;0;0;0
57;56;1;1;1;0;0.174;0.26;0;0;0;0;0;0;0;0;0;0;0;0;0
38;49;1;1;1;0;0.115;0.177;0.003;0;0;0;0;0;0;0;0;0;0;0;0
38;48;1;1;1;0;0.0312;0.0482;0;0;0;0;0;0;0;0;0;0;0;0;0
9;55;1;1;1;0;0;0.1205;0;0;0;0;0;0;0.94;0;0;0;0;0;0
