08/19/93;UW;ARCHIVE;100;1962;W;IEEE;14;Bus;Test;Case;;;;;;;
36;Bus 36    V3;1;1;0;0.976;-13.59;0;0;0;0;0;0;0;0;0;0;0
37;Bus 37    V3;1;1;0;0.985;-13.41;0;0;0;0;0;0;0;0;0;0;0
38;Bus 38    V3;1;1;0;1.013;-12.71;14;7;0;0;0;0;0;0;0;0;0
39;Bus 39    V3;1;1;0;0.983;-13.46;0;0;0;0;0;0;0;0;0;0;0
40;Bus 40    V3;1;1;0;0.973;-13.62;0;0;0;0;0;0;0;0;0;0;0
41;Tazewell  V6;1;1;0;0.996;-14.05;6.3;3;0;0;0;0;0;0;0;0;0
42;Bus 42    V6;1;1;0;0.966;-15.5;7.1;4.4;0;0;0;0;0;0;0;0;0
43;Tazewell  V7;1;1;0;1.01;-11.33;2;1;0;0;0;0;0;0;0;0;0
44;Bus 44    V3;1;1;0;1.017;-11.86;12;1.8;0;0;0;0;0;0;0;0;0
45;Bus 45    V3;1;1;0;1.036;-9.25;0;0;0;0;0;0;0;0;0;0;0
46;Bus 46    V3;1;1;0;1.05;-11.89;0;0;0;0;0;0;0;0;0;0;0
47;Bus 47    V3;1;1;0;1.033;-12.49;29.7;11.6;0;0;0;0;0;0;0;0;0
48;Bus 48    V3;1;1;0;1.027;-12.59;0;0;0;0;0;0;0;0;0;0;0
49;Bus 49    V3;1;1;0;1.036;-12.92;18;8.5;0;0;0;0;0;0;0;0;0
50;Bus 50    V3;1;1;0;1.023;-13.39;21;10.5;0;0;0;0;0;0;0;0;0
51;Bus 51    V3;1;1;0;1.052;-12.52;18;5.3;0;0;0;0;0;0;0;0;0
52;Bus 52    V5;1;1;0;0.98;-11.47;4.9;2.2;0;0;0;0;0;0;0;0;0
53;Bus 53    V5;1;1;0;0.971;-12.23;20;10;0;0;0;0;0;0;0;0.063;0
54;Bus 54    V5;1;1;0;0.996;-11.69;4.1;1.4;0;0;0;0;0;0;0;0;0
55;Saltville V5;1;1;0;1.031;-10.78;6.8;3.4;0;0;0;0;0;0;0;0;0
56;Bus 56    V6;1;1;0;0.968;-16.04;7.6;2.2;0;0;0;0;0;0;0;0;0
57;Bus 57    V6;1;1;0;0.965;-16.56;6.7;2;0;0;0;0;0;0;0;0;0
